topic_idx,topic,size,positive_size,negative_size,pos_neg_ratio,/user/home/zx16649/study_screening/retrieval/model_trained/os_covid_3_24_11_08_roc,/user/home/zx16649/study_screening/retrieval/model_trained/os_covid_3_24_11_08_pr,./model_trained/os_covid_contrastive_e6_24_07_22_roc,./model_trained/os_covid_contrastive_e6_24_07_22_pr,/user/home/zx16649/study_screening/retrieval/model_trained/os_with_philippa_24_10_23_roc,/user/home/zx16649/study_screening/retrieval/model_trained/os_with_philippa_24_10_23_pr,/user/home/zx16649/study_screening/retrieval/model_trained/os_rct_24_10_17_roc,/user/home/zx16649/study_screening/retrieval/model_trained/os_rct_24_10_17_pr
11,Diferential efcacy and_afety of_nti_SARS_CoV_2 antibody therapies for_he_anagement of_OVID_19: a_ystematic review and_etwork meta_analysis,621,60,561,0.0966183574879227,0.5783125371360665,0.1103991186008012,0.9648841354723707,0.7963619837522671,0.958407605466429,0.7618157102140712,0.9741532976827094,0.8422614281740937
13,Efficacy and safety of corticosteroid regimens for the treatment of hospitalized COVID-19 patients: a meta-analysis,1801,28,1773,0.015546918378678512,0.9348360325517686,0.28161915256264636,0.9816090564821529,0.5303714404797242,0.9554830392393844,0.48897524722157026,0.9663403432438966,0.5201191034419771
14,Efficacy and safety of ivermectin for the treatment of COVID-19: a systematic review and meta-analysis,63,7,56,0.1111111111111111,0.9617346938775511,0.6647289218717789,0.971938775510204,0.8433982683982684,1.0,0.9999999999999998,0.923469387755102,0.7076411266260889
15,Efficacy and safety of selective serotonin reuptake inhibitors in COVID-19 management: a systematic review and meta-analysis,804,6,798,0.007462686567164179,0.8358395989974937,0.3247313094895214,0.9864243943191312,0.29336756167113315,0.9774436090225564,0.2663724766598822,0.977234753550543,0.1457020801969651
16,Efficacy of chloroquine and hydroxychloroquine for the treatment of hospitalized COVID-19 patients: a meta-analysis,1693,63,1630,0.03721204961606615,0.8876424189307625,0.2932056987561648,0.9546109650404129,0.5986817645702692,0.9490408024150355,0.5584582246685513,0.9480377836206056,0.5393299384103631
17,Efficacy of lopinavir_itonavir combination therapy for the treatment of hospitalized COVID-19 patients: a meta-analysis,311,19,292,0.06109324758842444,0.8442682047584715,0.3693223910172064,0.9028478731074261,0.4811014377523913,0.9030281182408075,0.3823980816428986,0.9160057678442681,0.5267442911411724
26,Prevalence of mental health symptoms in children and adolescents during the COVID-19 pandemic: A meta-analysis,2741,85,2656,0.031010580080262678,0.423985648476258,0.025319392945715186,0.9691442239546422,0.6942969119892539,0.9566796598157334,0.6546133874449892,0.9632264351523743,0.6499251406168963
